user_id,transaction_description,date,amount
374576,movie,06/01/2024,30.0
374576,Health care,06/01/2024,5000.0
374576,groceries,06/02/2024,50.0
374576,clothes,06/02/2024,200.0
374576,utilities,06/03/2024,300.0
374576,movie,06/03/2024,30.0
374576,haircut,06/03/2024,20.0
374576,clothes,06/03/2024,40.0
374576,haircut,06/03/2024,20.0
374576,books,06/04/2024,25.0
374576,movie,06/04/2024,30.0
374576,groceries,06/05/2024,100.0
374576,books,06/05/2024,100.0
374576,groceries,06/06/2024,50.0
374576,internet,06/08/2024,600.0
374576,rent,06/10/2024,600.0
